10.13,JSOSX - Jpmorgan Strategic Income Opportunities Fund I C,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
10.14,GOBIX - Brandywineglobal - Global Opportunities Bond Fun,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
10.15,RPIFX - T. Rowe Price Institutional Floating Rate Fund,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
10.16,VWIUX - Vanguard Intermediate-Term Tax-Exempt Fd Admiral,Mutual FundsMutual Fund,Child,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
10.17,DVY - Select Dividend Ishares ETF,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
11,Grandma Sally's Expand Your Horizon Trust Michael A Coons,TrustGeneral Trust,Child,,,
11.1,FDRXX - Fidelity Government Cash Reserves,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
11.2,FSGGX - Fidelity Global Ex U.S. Index Fund,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
11.3,CNSFX - Invesco Convertible Securities Fund Cl R6,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
11.4,BIOIX - Baron Opportunity Fund Inst Shs,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
11.5,FTHSX - Fuller & Thaler Behavioral Small-Cap Equity Fund,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
11.6,CSSPX - Cohen & Steers Global Realty Shares Inc Class I,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
11.7,GERIX - Goldman Sachs Emerging Mkts Equity Insight Fd IN,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
11.8,OANMX - Oakmark Fund Institutional Class,Mutual FundsMutual Fund,Child,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
11.9,GLIFX - Lazard Global Listed Infrastructure Ptf Insti Sh,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
11.10,LBFIX - Clearbridge Select Fd I,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
11.11,VWILX - Vanguard International Growth Fund Admiral Share,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
11.12,BSBIX - Baird Short Term Bond Fund Institutional Class,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
11.13,JSOSX - Jpmorgan Strategic Income Opportunities Fund I C,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
11.14,GOBIX - Brandywineglobal - Global Opportunities Bond Fun,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
11.15,RPIFX - T. Rowe Price Institutional Floating Rate Fund,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
11.16,VWIUX - Vanguard Intermediate-Term Tax-Exempt Fd Admiral,Mutual FundsMutual Fund,Child,"$15,001 - $50,000","Excepted Investment Fund,",None (or less than $201)
11.17,DVY - Select Dividend Ishares ETF,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Excepted Investment Fund,",None (or less than $201)
12,Robert W Gore Trust FBO John C Coons,TrustGeneral Trust,Child,,,
12.1,"Robert Gorfam, Inc.Description: Holding Company (Newark, DE)",Other Securities,Child,,,
12.1.1,"W.L. Gore Associates Inc.Company: W.L. Gore & Associates (Newark, DE) Description: Manufacturing",Corporate SecuritiesNon-Public Stock,Child,"Over $1,000,000 and held independently by spouse or dependent child","Dividends,","$100,001 - $1,000,000"
12.1.2,"PNC Bank(Wilmington, DE)Type: Checking,",Bank Deposit,Child,"None (or less than $1,001)","None,",None (or less than $201)
13,Robert W Gore Trust FBO Margaret C Coons,TrustGeneral Trust,Child,,,
13.1,"Robert Gorfam, Inc.Description: Holding Company (Newark, DE)",Other Securities,Child,,,
13.1.1,"W.L. Gore Associates Inc.Company: W.L. Gore & Associates Inc. (Newark, DE) Description: Manufacturing",Corporate SecuritiesNon-Public Stock,Child,"Over $1,000,000 and held independently by spouse or dependent child","Dividends,","$100,001 - $1,000,000"
13.1.2,"PNC Bank(Wilmington, DE)Type: Checking,",Bank Deposit,Child,"None (or less than $1,001)","None,",None (or less than $201)
14,Robert W Gore Trust FBO Michael A Coons,TrustGeneral Trust,Child,,,
14.1,"Robert Gorfam, Inc.Description: Holding Company (Newark, DE)",Other Securities,Child,,,
14.1.1,"W.L. Gore Associates Inc.Company: W.L. Gore & Associates Inc. (Newark, DE) Description: Manufacturing",Corporate SecuritiesNon-Public Stock,Child,"Over $1,000,000 and held independently by spouse or dependent child","Dividends,","$100,001 - $1,000,000"
14.1.2,"PNC Bank(Wilmington, DE)Type: Checking,",Bank Deposit,Child,"None (or less than $1,001)","None,",None (or less than $201)
15,John Coons,Brokerage/Managed Account,Child,,,
15.1,FDRXX - Fidelity Government Cash Reserves,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Interest,","$201 - $1,000"
15.2,GQGIX - Gqg Partners Emerging Markets Equity Fund Instit,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,","$201 - $1,000"
15.3,RGERX - Columbia Select Global Equity Fund Class I2,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,","$201 - $1,000"
15.4,IYMIX - Delaware Ivy Mid Cap Growth Fund Class I,Mutual FundsMutual Fund,Child,"$15,001 - $50,000","Dividends, Capital Gains,","$1,001 - $2,500"
15.5,JENIX - Jensen Quality Growth Fund Cl I,Mutual FundsMutual Fund,Child,"$15,001 - $50,000","Dividends, Capital Gains,","$1,001 - $2,500"
15.6,RAIIX - Rainier International Discovery Series - Class I,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,",None (or less than $201)
15.7,TSCSX - Thrivent Small Cap Stock Fund Class S,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,",None (or less than $201)
15.8,VWUAX - Vanguard  U.S. Growth Fund Admiral Shares,Mutual FundsMutual Fund,Child,"$15,001 - $50,000","Dividends, Capital Gains,",None (or less than $201)
15.9,VGISX - Virtus Duff & Phelps Global Real Estate Securiti,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,",None (or less than $201)
15.10,MAWIX - Blackrock Strategic Global Bond Fund Inc. - Ins,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,","$201 - $1,000"
15.11,GIBIX - Guggenheim Total Return Bond Fund- Institutional,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,","$201 - $1,000"
15.12,IXUS - Total Intl Stock Ishares Core MSCI ETF,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,","$201 - $1,000"
15.13,DGRO - iShares Core Dividend Growth ETF,Mutual FundsMutual Fund,Child,"$15,001 - $50,000","Dividends,","$201 - $1,000"
15.14,HIGFX - American High-Income Trust - Class F-3,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,",None (or less than $201)
15.15,PLSRX - Pacific Funds Strategic Income - Class I,Mutual FundsMutual Fund,Child,"$15,001 - $50,000","Dividends, Capital Gains,","$201 - $1,000"
