Name,Office (Filer Type),Report Type,Date Received/Filed,Report Link,Annoying,Standard,Filename
"Fetterman, John","Fetterman, John (Senator)",Candidate Report (Amendment 2),08/13/2024,https://efdsearch.senate.gov/search/view/annual/9e7ea262-7ec8-416c-bb04-a13f1dc0ef9d/,FALSE,TRUE,senate_reports/senate_reports_1731547540
"Fetterman, John","Fetterman, John (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/9f9a065f-a7f8-4647-8e97-2c7b33519cd8/,FALSE,TRUE,senate_reports/senate_reports_1731547541
"Fischer, Debra S","Fischer, Deb (Senator)",Annual Report for CY 2023,05/14/2024,https://efdsearch.senate.gov/search/view/annual/7a3e75e9-fdb2-48aa-8583-7558d53f2cf3/,FALSE,TRUE,senate_reports/senate_reports_1731547542
"Gillibrand, Kirsten E","Gillibrand, Kirsten E. (Senator)",Annual Report for CY 2023,05/08/2024,https://efdsearch.senate.gov/search/view/annual/7ae7aae6-03bb-4d7f-a956-8adcba494f99/,FALSE,TRUE,senate_reports/senate_reports_1731547543
"Graham, Lindsey","Graham, Lindsey (Senator)",Annual Report for CY 2023,05/14/2024,https://efdsearch.senate.gov/search/view/annual/82a8cef2-fa7e-4ce7-92d2-798715c28d5f/,FALSE,TRUE,senate_reports/senate_reports_1731547544
"Grassley, Charles E","Grassley, Charles E. (Senator)",Annual Report for CY 2023,05/14/2024,https://efdsearch.senate.gov/search/view/annual/2f0bcbce-b93f-44f0-b1cf-4380419ce0af/,FALSE,TRUE,senate_reports/senate_reports_1731547545
"Hagerty, IV, William F","Hagerty, Bill (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/03b313b5-2492-4264-8fa0-2f14bbafde77/,FALSE,TRUE,senate_reports/senate_reports_1731547547
"Hassan, Maggie","Hassan, Maggie (Senator)",Annual Report for CY 2023,08/12/2024,https://efdsearch.senate.gov/search/view/annual/32481311-3b9a-4ad3-be14-520c173cf5e3/,FALSE,TRUE,senate_reports/senate_reports_1731547548
"Hawley, Joshua D","Hawley, Josh (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/b5927b5e-a907-4e99-9ad4-957f0e2bceb3/,FALSE,TRUE,senate_reports/senate_reports_1731547549
"Heinrich, Martin","Heinrich, Martin (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/ea129bbd-77b9-47a0-aeb9-f5faa5158934/,FALSE,TRUE,senate_reports/senate_reports_1731547553
"Hickenlooper, John W","Hickenlooper, John (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/5f667aa1-b9ab-4fe2-bced-c43f4f103c48/,FALSE,TRUE,senate_reports/senate_reports_1731547554
"Hirono, Mazie K","Hirono, Mazie Keiko (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/16dad072-2ce0-4bc8-ad36-c51aca7ec2fb/,FALSE,TRUE,senate_reports/senate_reports_1731547555
"Hoeven, John","Hoeven, John (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/c1569647-99b6-40c2-be51-97c8d800d9e6/,FALSE,TRUE,senate_reports/senate_reports_1731547556
"Hyde-Smith, Cindy","Hyde-Smith, Cindy (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/d20d2883-5d04-4355-901c-cce12f0c9a55/,FALSE,TRUE,senate_reports/senate_reports_1731547557
"Johnson, Ron","Johnson, Ron (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/d9214500-b134-4e99-8584-0e49cfb247e9/,FALSE,TRUE,senate_reports/senate_reports_1731547558
"Kaine, Timothy M","Kaine, Tim (Senator)",Annual Report for CY 2023,05/13/2024,https://efdsearch.senate.gov/search/view/annual/96e64ed2-07fd-461c-a52d-b251b0ebe271/,FALSE,TRUE,senate_reports/senate_reports_1731547559
"Kelly, Mark E","Kelly, Mark (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/deaf96b2-f782-4cc2-89fc-f0f619e9aed4/,FALSE,TRUE,senate_reports/senate_reports_1731547560
